AFF_LOVE_POINT	Love points: %d%%
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Slow
TOOLTIP_ITEM_VERY_FAST	Very fast
TOOLTIP_ITEM_VERY_SLOW	Very slow
TOOLTIP_ITEM_WEARABLE_JOB	[Wearable]
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Lucky Number: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magic attack +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magical Attack Value +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magical Defence +%d	SA
TOOLTIP_MALL_ATTBONUS	Attack Value +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Attack Value	SNA
TOOLTIP_MALL_AUTOLOOT	A hand that picks up dropped Yang automatically	SNA
TOOLTIP_MALL_DEFBONUS	Defence +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defence	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Increases gaining EXP by 50%	SNA
TOOLTIP_MALL_FISH_MIND	Your chance of catching a rare fish is doubled.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang drop chance increased by %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Double Yang drop chance	SNA
TOOLTIP_MALL_ITEMBONUS	Item drop chance increased by %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance of looting items plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Item drop chance increased by 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Lovepoints raise faster.	SNA
TOOLTIP_MALL_SAFEBOX	Your Storeroom gets 2 storage rooms	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Endurance +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magic/melee attack +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Movement Speed %d%%	SA
TOOLTIP_NECK	Necklace
TOOLTIP_NEED_ALL_SP	Needed SP: Max.
TOOLTIP_NEED_GSP	Needed Dragon ghost: %d
TOOLTIP_NEED_HP	Needed HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SP	Needed SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Next Level: %d (Max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Average Damage %d %%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Average Damage Resistance %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Current Level: %d
TOOLTIP_PICK_EXP	Points: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Give to the Lumberjack
TOOLTIP_PICK_UPGRADE2	to get a better
TOOLTIP_PICK_UPGRADE3	Pickaxe.
TOOLTIP_POTION_CURE	Cure negative effects.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Attack speed +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%	
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d	
TOOLTIP_POTION_PLUS_MOVING_SPEED	Movement speed +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d	
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duration:	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d needed.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d needed
TOOLTIP_RESIST_BOW	Arrow Defence %d%%	SA
TOOLTIP_RESIST_DARK	Resistance against darkness +%d%%	SA
TOOLTIP_RESIST_EARTH	Earth resistance +%d%%	SA
TOOLTIP_RESIST_ELEC	Lightning Resistance %d%%	SA
TOOLTIP_RESIST_FIRE	Fire Resistance %d%%	SA
TOOLTIP_RESIST_HUMAN	Average human resistance %d%%	SA
TOOLTIP_RESIST_ICE	Ice resistance +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magic Resistance %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magic penetration of %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Left: %d
TOOLTIP_SEALED	Soulbound
TOOLTIP_SELLPRICE	Price: %s
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Shield
TOOLTIP_SHOES	Shoes
TOOLTIP_SKILL	Skills	SNA
TOOLTIP_SKILLBOOK_NAME	Skill Book
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Attack Value: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Attack Value:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Attack Speed: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defence:
TOOLTIP_SKILL_AFFECT_DODGE	Opponent Attack Value: -
TOOLTIP_SKILL_AFFECT_HEAL	Restore HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Movement Speed: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance to reflect close combat attack:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistance against Body Damage:
TOOLTIP_SKILL_COOL_TIME	Recharge:
TOOLTIP_SKILL_DAMAGE_BONUS	Skill Damage %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistance against Skill Damage %d%%	SA
TOOLTIP_SKILL_DURATION	Duration: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Book of Forgetfulness
TOOLTIP_SKILL_LEVEL	Current Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Current Level: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Current Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Empty
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item with Socket]
TOOLTIP_SP_REGEN	SP Regeneration +%d%%	SA
TOOLTIP_STR	Strength +%d	SA
TOOLTIP_SUNGMA_HP	%d of Sungma will (vit)	SA
TOOLTIP_SUNGMA_IMMUNE	%d of Sungma will (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d of Sungma (Res) will	SA
TOOLTIP_SUNGMA_STR	%d of Sungma will (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Time charging %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Time charging %d%%	SA
TOOLTIP_UNIQUE	Unique
TOOLTIP_UNSEAL_LEFT_TIME	Removing soulbind in: %d hrs. %d mins.
TOOLTIP_WARRIOR	Warrior
TOOLTIP_WEAPON	Weapon
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Wristlet
TOURNAMENT_ALL_CHARACTER	All the characters	
TOURNAMENT_EVENT	PVP Tournament (%s - Lv %d - Lv %d)	
UI_ACCEPT	Accept
UI_CANCEL	Cancel
UI_CLOSE	Close
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Decline
UI_ITEM	Item
UI_LEFT_TIME	Remaining Time: %d Sec.
UI_NEXT	Continue
UI_NEXTPAGE	Next
UI_NOCONTENTS	No Content
UI_NONAME	No Name
UI_OK	OK
UI_POS_UNKNOWN	Unknown Place
UI_PREVPAGE	Back
UPDATE_TIME	Date	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	The upload has to be started again.
USE_ITEM_FAILURE_PRIVATE_SHOP	You cannot use items while you have a private shop open.
WHEEL_REWARD_TEXT	You have received	
WHEEL_REWARD_TEXT_1	In your inventory	
WHEEL_REWARD_TITLE	Roulette reward	
WHELL_OF_FORTUNE_EVENT	Wheel of Fortune	
WIKI_100	Lv 121-?
WIKI_1_75	Lv 1-99
WIKI_76_100	Lv 99-120
WIKI_ATTR_RARE	Bonus 6/7
WIKI_AVAIBLE_AT	Avaible at
WIKI_BASIC	Game Mechanics
WIKI_ALCHEMY	Alchemy system
WIKI_EVENTS	Available Events
WIKI_BASIC_DROP	Basic Drop
WIKI_BIOLOG	Biolog
WIKI_BIOLOGO	Biolog
WIKI_BODY_COSTUME	Body Costume
WIKI_BOSSES	Bosses
WIKI_BOSSES_EVENT	Event Bosses
WIKI_CATEGORY	Category
WIKI_CHESTS	Chests
WIKI_CHESTS_ALTERNATIVE	Alternative chests
WIKI_CHESTS_BOSS	Boss Chests
WIKI_CHESTS_DUNGEON	Dungeon Chests
WIKI_CHESTS_EVENT	Event Chests
WIKI_CHESTS_OTHER	Other Chests
WIKI_CONTENT_INFO	Content of %s
WIKI_COSTUME	Skins and Costumes
WIKI_COSTUMES	Costumes
WIKI_DROPLIST_INFO	Droplist of %s
WIKI_EQUIPMENT	Equipment
WIKI_EQUIPMENT_ARMOR	Armor
WIKI_EQUIPMENT_BELT	Belt
WIKI_EQUIPMENT_BRACELET	Bracelet
WIKI_EQUIPMENT_EARRING	Earrings
WIKI_EQUIPMENT_HELMET	Helmets
WIKI_EQUIPMENT_NECKLACE	Necklace
WIKI_EQUIPMENT_RINGS	Rings
WIKI_EQUIPMENT_SHIELD	Shields
WIKI_EQUIPMENT_SHOES	Shoes
WIKI_EQUIPMENT_TALISMAN	Talisman
WIKI_EQUIPMENT_WEAPONS	Weapons
WIKI_GAMERULES	Game Rules
WIKI_GAME_RULES	Game Rules
WIKI_GUIDES	M2365 Information
WIKI_HAIR_COSTUME	Hair Costume
WIKI_ITEM_NAME	Item Name
WIKI_LEVEL_MOB_TEXT	Level %d
WIKI_LEVEL_TEXT	Level %d - Refine Range %d~%d
WIKI_LEVEL_TEXT2	Level %d~%d - Refine Range %d~%d
WIKI_METINSTONE	Metinstone
WIKI_MOB_NAME	Mob Name
WIKI_MONSTER	Monster
WIKI_MOUNT	Pets and Mounts
WIKI_MOUNT_ITEM	Mounts
WIKI_ORIGIN	Origin
WIKI_PETS	Pets
WIKI_PET_ITEM	Pets
WIKI_PET_LEVEABLE_ITEM	Level Pets
WIKI_SASH_COSTUME	Sash Skin
WIKI_SHINING	Shinnings
WIKI_STATICS_INFO	Statics of %s
WIKI_STATICS_INFO_DEFENSES	Defenses:
WIKI_STATICS_INFO_DMG	Min. Dmg:%d | Max. Dmg:%d | Max HP: %d
WIKI_STATICS_INFO_TYPE	Genus: %s | Sub-genus: %s
WIKI_STATICS_INFO_YNG	Min. Yang:%d | Max. Yang:%d | EXP: %d
WIKI_SYSTEM2	Basic Systems
WIKI_TITLE	Wiki System
WIKI_TITLE2	[H] WikiInfo
WIKI_UNKOWN_ITEM	Unknown item: %d
WIKI_UNKOWN_MOB	Unknown Mob: %d
WIKI_UPGRADE_COSTS	Next Item 
WIKI_WEAPON_SKIN	Weapon Skin
WIKI_YANG_COSTS	Yang costs
YANG_DROP_EVENT	Yang Drop event: %d%%	
YELLOW_KINGDOM	|cFFFDE696Chunjo:|h|r	
YES	Buy	
cube_1	ARMOR LV 105
cube_2	ARMOR LV 115
cube_3	WEAPON LV 105
cube_4	WEAPON LV 115
cube_5	BRACELETS
cube_6	SASH
cube_7	BELTS
cube_8	NECKLACE
cube_9	EARINGS
cube_10	SHOES
cube_11	HELMETS
cube_12	Potions 1st grade
cube_13	Potions 1st grade
cube_14	Dews
cube_15	Talisman
cube_16	Blessings and Magical Metal
cube_17	Dews, fights and dragon items
cube_18	Aura Outfit
cube_19	Pet Elixirs
cube_20	Ramadan Objects
cube_21	Zodiac Equipment Level 105
cube_22	Dragon Equipment Level 110-120
cube_23	Accessories
cube_24	Belt
cube_25	Others
cube_26	Gloves
cube_27	Fragment of weapons
cube_28	Fragment of armor
cube_29	Helmets fragment
cube_30	Weapons
cube_31	Armor
PRIVATESHOPSEARCH_WEAPON_SWORD	Sword
PRIVATESHOPSEARCH_WEAPON_TWOHAND	Two-Handed
PRIVATESHOPSEARCH_WEAPON_DAGGER	Dagger
PRIVATESHOPSEARCH_WEAPON_BOW	Bow
PRIVATESHOPSEARCH_WEAPON_CLAW	Claw
PRIVATESHOPSEARCH_WEAPON_FAN	Fan
PRIVATESHOPSEARCH_WEAPON_BELL	Bell
PRIVATESHOPSEARCH_EQUIPMENT	Equipment
PRIVATESHOPSEARCH_EQUIPMENT_ARMOUR	Armour
PRIVATESHOPSEARCH_EQUIPMENT_SHIELD	Shield
PRIVATESHOPSEARCH_EQUIPMENT_EARRINGS	Earrings
PRIVATESHOPSEARCH_EQUIPMENT_NECKLACES	Necklaces
PRIVATESHOPSEARCH_EQUIPMENT_BRACELETS	Bracelets
PRIVATESHOPSEARCH_EQUIPMENT_SHOES	Shoes
PRIVATESHOPSEARCH_EQUIPMENT_BELTS	Belt
PRIVATESHOPSEARCH_EQUIPMENT_HELMETS	Helmets
PRIVATESHOPSEARCH_EQUIPMENT_TALISMAN	Talisman
PRIVATESHOPSEARCH_COSTUMES	Costumes
PRIVATESHOPSEARCH_COSTUMES_BODY	Costume Body
PRIVATESHOPSEARCH_COSTUMES_HAIR	Costume Hair
PRIVATESHOPSEARCH_COSTUMES_WEAPON_SKIN	Costume Weapon
PRIVATESHOPSEARCH_COSTUMES_SHOULDER_SASHES	Shoulder Sashes
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY_DRAGON_BEANS	Dragon Beans
PRIVATESHOPSEARCH_CONSUMABLES	Consumables
PRIVATESHOPSEARCH_CONSUMABLES_DEWS	Dews
PRIVATESHOPSEARCH_CONSUMABLES_HERBS	Herbs
PRIVATESHOPSEARCH_BOOKS_SKILLBOOK	Skill Books
PRIVATESHOPSEARCH_BOOKS_OTHERBOOK	Other Books
PRIVATESHOPSEARCH_BOOKS_WARDBOOK	Ward Books
PRIVATESHOPSEARCH_BOOKS_BOOSTBOOK	Boost Books
PRIVATESHOPSEARCH_BOOKS_PETBOOK	Pet Books
PRIVATESHOPSEARCH_BOOKS_LOWPETBOOKS	Low Pet Books
PRIVATESHOPSEARCH_OTHERITEMS_REFINEMENT	Refinement Items
PRIVATESHOPSEARCH_OTHERITEMS_BIOLOGIST	Biologist Items
PRIVATESHOPSEARCH_OTHERITEMS_QUEST	Quest Items
PRIVATESHOPSEARCH_OTHERITEMS_ENERGY_SHARDS	Energy Shards
PRIVATESHOPSEARCH_OTHERITEMS_CHESTS	Chests
PRIVATESHOPSEARCH_HELPFULLITEMS	Helpfull Items
PRIVATESHOPSEARCH_HELPFULLITEMS_ENCHANT_ITEM	Enchant Items
PRIVATESHOPSEARCH_HELPFULLITEMS_OTHER_SWITCHERS	Other Switchers
PRIVATESHOPSEARCH_HELPFULLITEMS_ADVANCED_ITEMS	Advanced Items
PRIVATESHOPSEARCH_HELPFULLITEMS_METIN_STONE	Ghost Stone
PRIVATESHOPSEARCH_HELPFULLITEMS_RINGS	Rings
PRIVATESHOPSEARCH_ORES	Ores
PRIVATESHOPSEARCH_ORES_ORE	Ore
PRIVATESHOPSEARCH_ORES_REFINED_ORE	Refined Ore
PRIVATESHOPSEARCH_ORES_REFINED_ORE2	Refined Ore+
PRIVATESHOPSEARCH_PETS_NICKNAME_SCROLL	Pet Name Scrolls
PRIVATESHOPSEARCH_PETS_PETS	Pets
PRIVATESHOPSEARCH_MOUNTS	Mount
PRIVATESHOPSEARCH_PETS_NEWPETS	Pet System Pets
SHOPSEARCHCENTERTEXT	Search item first
SHOPSEARCH_NEED_WAIT	Your so fast. You need wait some couple seconds.
SHOPSEARCH_NEED_LIST	You don't select any item in search.
SHOPSEARCH_NOT_ENOUGH_MONEY	You don't have enough money for these items!
SHOPSEARCH_CLASS	Class
SHOPSEARCH_PRICE	Price
SHOPSEARCH_OBJECTS	Objects
SHOPSEARCH_FILTERS	Level - Item Level
SHOPSEARCH_SEARCH_TEXT	SEARCH ITEM
SHOPSEARCH_SEARCH_BTN	Search
SHOPSEARCH_BUY_BTN	Buy Selected Items
SHOPSEARCH_ALL_CLASS	All Class
CREATE_SEX	Gender
CREATE_MAN	Man
CREATE_WOMAN	Woman
REFINEMENT_GRADE	Refinement Grade
ALCHEMY_CLASS	Alchemy Class
PRICE01	Price:
PRICE02	Price: x%d
PRIVATESHOPSEARCH_AllITEMS	All items
PRIVATESHOPSEARCH_EQUIPMENT_RINGS	Rings
PRIVATESHOPSEARCH_EQUIPMENT_PENDANT	Talismans
SHOPSEARCH_BUY_QUESTION	%d selected item. Total %s Yang.
CHEST_TOOLTIP_TEXT_OPEN	Open All
TOOLTIP_RENDER_TARGET	|Eemoji/key_shift|e - |Eemoji/key_x|e - |Eemoji/key_lclick|e - Preview
RENDER_MOVE_TEXT	Move - |Eemoji/key_right_new|e
RENDER_WHEEL_TEXT	Zoom - |Eemoji/key_wheel|e
APP_MINI_TITLE	Test Server
DISCORD_STUF_MESSAGE	Whisper from %s
OPTION_SPECIAL_MESSAGE	Windows Message
DISCORD_TEXT_TITLE	Server Discord Message
DISCORD_TEXT_TEXT	Welcome to our server. Did you come to our Discord Server? Click for link...
COSTUME_SLOT_MOUNT_SKIN	Aspecto de montura
BEAD_COUNT	%d
CZ_REWARD_QUESTION_COMPLETE	Would you like to complete?
CZ_REWARD_TOOLTIP_10GAN	10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_COUNT	The number of my 10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	The number of required 10 Celestial stem
CZ_REWARD_TOOLTIP_12ZI	Zodiac talisman
CZ_REWARD_TOOLTIP_12ZI_COUNT	The number of my Zodiac talismans
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	The number of required Zodiac tailsmans
CZ_REWARD_TOOLTIP_ALL_BOX	Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Can get Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Can get Green Case
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Can get Yellow Case
CZ_REWARD_TOOLTIP_COMPLETABLE	Completable
CZ_REWARD_TOOLTIP_GREEN_BOX	Green Case
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Completed Green Case %d times
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday, Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Yellow Case
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Completed Yellow Case %d times
BEAD	Animasphere
SHOP_NOT_ENOUGH_LUCKY	Alma hakkýnýz kalmadý.
NEW_AFFECT_AUTO_PICK_UP	Automatic pickup affect.	SNA
SWITCHBOT_ACTIVE	Your system is currently being enchanted, it will continue until the enchantment bot reaches the value you entered or until you stop it.
TRACK_OPEN_SHOP	Open Shop
TRACK_DUNGEON_INFORMATION	Dungeon#Information
TRACK_BOSS_INFORMATION	World Boss#Information
TRACK_DUNGEON_NOTICE_INFORMATION	Notice me when Dungeon#is available
TRACK_BOSS_NOTICE_INFORMATION	Notice me when World#Boss is available
TRACK_DUNGEON_LEVEL_FIELD	Level: %d - %d
TRACK_BOSS_LEVEL_FIELD	Recommended Level: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Party: %s
TRACK_BOSS_PARTY_FIELD	Boss Cooldown: %s
TRACK_DUNGEON_PARTY_NEED	Necessary
TRACK_DUNGEON_PARTY_NOT_NEED	Not Necessary
TRACK_DUNGEON_COOLDOWN_FIELD	Dungeon Cooldown: %s
TRACK_BOSS_COOLDOWN_FIELD	Map: %s
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_AVAILABLE	Available
TRACK_STATUS_ALIVE	Alive    CH%d
TRACK_DUNGEON_KEY	Dungeon Key
TRACK_TELEPORT	Teleport
TRACK_WINDOW_TITLE	[F5] Track Window
TRACK_DUNGEON_READY	[Dungeon] %s is available!
TRACK_BOSS_READY	[WorldBoss] %s is spawned!
TRACK_WB_1	General Wu
TRACK_WB_1_MAP	Zodiac Temple
TRACK_WB_2	General You
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dune Guardian
TRACK_WB_6_MAP	Mount Odyssey
FISHGAME_TITLE	Fish
EXCHANGELOG_TITLE	Exchange Logs
EXCHANGELOG_OWNERNAME	Owner Name
EXCHANGELOG_TARGETNAME	Target Name
EXCHANGELOG_GOLDTRADED	Gold Traded
EXCHANGELOG_DATE	Date
EXCHANGELOG_IP	IP
EXCHANGELOG_CONTENT	Content
EXCHANGELOG_DELETESELECTED	Delete Selected
EXCHANGELOG_DELETEALL	Delete All
EXCHANGELOG_CHANGEPASS	Change Password
EXCHANGELOG_FAKETITLE	%s to %s
EXCHANGELOG_LOADING	Loading
EXCHANGELOG_INPUTTITLE	Delete Log
EXCHANGELOG_INPUTDESC	Put your character delete value
EXCHANGELOG_INPUT_NOT_NUMBER	Please put number
EXCHANGELOG_INPUT_NOT_ENOUGHT_SIZE	Please put real delete character value
EXCHANGELOG_INPUT_NOT_SAME_CODE	This value is wrong
EXCHANGELOG_INPUT_NOT_HAS_LOG	Not has log to remove.
GAYA_BUY	Do you want buy {} for {} gaya?
GAYA_BOUGHT	You already buyed!
GAYA_OPEN_SLOT	Do you want open slot?
GAYA_NO_GEM	You don't has enought Gaya!
GAYA_REFRESH	Do you want refresh items?
NEW_AFFECT_VOTE4BUFF	Vote4Buff	SNA
MINI_GAME_RUMI_DISCARD_QUESTION	Do you want to remove the card?
MINI_GAME_RUMI_EXIT_QUESTION	Do you want to finish the game?
MINI_GAME_RUMI_EXIT_QUESTION2	You will receive a reward depending on the points you have earned.
MINI_GAME_RUMI_START_QUESTION	You need %d Yang and %d a deck of Okey cards.
MINI_GAME_RUMI_START_QUESTION2	Do you want to play?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	If you wager multiple %s, you will be rewarded with the same number of chests.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximum wager: %d King Decks.
MINI_GAME_CATCHKING_HELP_MSG1	What a pity! Your card's value is lower.\nYou don't earn any points. Choose a new card from your deck.
MINI_GAME_CATCHKING_HELP_MSG2	Well done! The cards are the same value.\nYour turn is over. Choose a new card from your deck.
MINI_GAME_CATCHKING_HELP_MSG3	Keep it up! The value of your card is higher.\nTurn over another card.
MINI_GAME_CATCHKING_HELP_MSG4	There was a [5] in range of the card you revealed.\nSadly you don't earn any points. Now select your King [K].
MMINI_GAME_CATCHKING_POPUP_CATCH_FAIL	The king has escaped you! The game is over. \nIf you have scored at least 10 points, you can now redeem your prizes.
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	The king has got away! The game is over. \nIf you've earned at least 10 points, you can now redeem your prize.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	You cannot redeem any prize.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	There's a [5] nearby.
MINI_GAME_CATCHKING_START_QUESTION_01	You must pay the following for a game: %d Yang and %s: %d lots
MINI_GAME_CATCHKING_START_QUESTION_02	Do you want to play now?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Can catch the following card: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Can catch the following cards: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Can catch the following cards: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Can catch the following cards: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Can catch the following cards: [1], [2], [3], [4], [5]\nIf another [5] is neighbouring the card you reveal,\nyour turn ends and you won't receive any points.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Can catch the following card: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 or more
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 to 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 to 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	You earn 10 bonus points if you reveal all the cards in a row.
CARD_EVENT	Okey Card Event
CATCH_KING_EVENT	Catch King Event
TREASURE_KEY	Key Box Event
MISSION_STATUS_COUNT	|cffF6A800|Eemoji/e_wiki|e Status:|r %d/%d
MISSION_TYPE_NAME	|cffF6A800|Eemoji/e_wiki|e Type:|r %s
MISSION_TYPE_ALL_MONSTER	All Monster
MISSION_TYPE_ALL_METIN	All MetinStone
MISSION_TYPE_ALL_BOSS	All King&Boss
MISSION_TYPE_LEVELRANGE	 (+-%d Level)
MISSION_TYPE_SPECIAL	|cffF6A800|Eemoji/e_wiki|e Type:|r %s
MISSION_EXP	|cffF6A800|Eemoji/e_wiki|e EXP:|r %s ~ %s
MISSION_GOLD	|cffF6A800|Eemoji/e_wiki|e Gold:|r %s ~ %s
MISSION_LEFTTIME	|cffF6A800|Eemoji/e_wiki|e Left Time:|r %s
MISSION_DELETE_TEXT	Do you want remove mission?
MISSION_REWARD_TEXT	Do you want get reward?
MISSION_END_TIME	|cffF6A800|Eemoji/e_wiki|e End Time:|r %s
MISSION_REWARD_TITLE	|cffF6A800Reward:|r
BEGGINER_EVENT	Beginner Event
LOCK_BONUS	Nº Bonus: %d (right click)
LOCK_BONUS2	Choose Bonus (right click)
COPY_ITEM	Bonus:
COPY_ITEM1	Right click to delete bonus
COPY_ITEM2	(Empty)
COPY_ITEM3	Sword
COPY_ITEM4	Dagger
COPY_ITEM5	Bow
COPY_ITEM6	Two Hand
COPY_ITEM7	Bell
COPY_ITEM8	Fan
COPY_ITEM9	Armour
COPY_ITEM10	Helmet
COPY_ITEM11	Shield
COPY_ITEM12	Bracelet
COPY_ITEM13	Shoes
COPY_ITEM14	Necklace
COPY_ITEM15	Earing
COPY_ITEM16	Costume
COPY_ITEM17	Hair
COPY_ITEM18	Mount
COPY_ITEM19	Sash
COPY_ITEM20	Weapon Skin
COPY_ITEM21	Sash Skin
COPY_ITEM22	Pet
COPY_ITEM23	Mount Skin
COPY_ITEM24	Pet skin
NEW_AFFECT_BRAVE_CAPE	Bravery Cape	SNA
AUTO_TOOLTIP_CLEAR	Reset
AUTO_TOOLTIP_LINE1	Skills: Select skills for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE2	Hint: You can change the activation interval (in seconds) below each skill.
AUTO_TOOLTIP_LINE3	Potions: Select potions for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE4	Hint: HP and SP potions will be activated as soon as the level falls below the % value shown below each potion.
AUTO_TOOLTIP_LINE5	Note: automatic use of skills, potions and resurrection can be activated in the item shop.
AUTO_TOOLTIP_TITLE	Auto-Hunting Help
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Hunting	SNA
YENILE_BUTTON_TITLE	Order inventory
YENILE_BUTTON	|Eemoji/key_lclick|e - Name
YENILE_BUTTON2	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - Level
